,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt, 1, 40,2014-10-18
1,Avarai Kolee, 1, 14,2014-10-18
2,Avarai ottu, 1, –,2014-10-18
3,Beans, 1, 38,2014-10-18
4,Beetroot, 1, 8,2014-10-18
5,Bellary, 1, 20,2014-10-18
6,C Flower, 1 Flower, 12,2014-10-18
7,C Vengayam, 1, 15,2014-10-18
8,Chaw Chaw, 1, 25,2014-10-18
9,Kaththari Disco, 1, 8,2014-10-18
10,Kaththari Green, 1, 8,2014-10-18
11,Kothavarai, 1, 15,2014-10-18
12,Milagai Samba, 1, 25,2014-10-18
13,Milagai urundai, 1, 35,2014-10-18
14,Mullaingi, 1, 8,2014-10-18
15,Murungai chedi, 1, 15,2014-10-18
16,Murungai Maram, 1, 13,2014-10-18
17,Nelli, 1, 30,2014-10-18
18,Pavarkai, 1, 26,2014-10-18
19,Perkangkai, 1, 25,2014-10-18
20,Pudalai, 1, 10,2014-10-18
21,Red Pusanikkai, 1, 7,2014-10-18
22,Sambar Vellari, 1, 8,2014-10-18
23,Suraikai, 1, 1,2014-10-18
24,Thakkali, 1, 5,2014-10-18
25,Thatta payaru, 1, 30,2014-10-18
26,Vendai, 1, 7,2014-10-18
