,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,Avarai Belt, 1, 56,2014-7-9
1,1,1,1,Avarai Kolee, 1, 35,2014-7-9
2,2,2,2,Avarai ottu, 1, –,2014-7-9
3,3,3,3,Beans, 1, 54,2014-7-9
4,4,4,4,Beetroot, 1, 25,2014-7-9
5,5,5,5,Bellary, 1, 25,2014-7-9
6,6,6,6,C Flower, 1Flower, 15,2014-7-9
7,7,7,7,C Vengayam, 1, 26,2014-7-9
8,8,8,8,Chaw Chaw, 1, 20,2014-7-9
9,9,9,9,Kaththari Disco, 1, 20,2014-7-9
10,10,10,10,Kaththari Green, 1, 20,2014-7-9
11,11,11,11,Kothavarai, 1, 21,2014-7-9
12,12,12,12,Milagai Sambar, 1, 19,2014-7-9
13,13,13,13,Milagai urundai, 1, 36,2014-7-9
14,14,14,14,Mullaingi, 1, 5,2014-7-9
15,15,15,15,Murungai chedi, 1, 47,2014-7-9
16,16,16,16,Murungai Maram, 1, 38,2014-7-9
17,17,17,17,Nelli, 1, 34,2014-7-9
18,18,18,18,Pavarkai, 1, 29,2014-7-9
19,19,19,19,Perkangkai, 1, 25,2014-7-9
20,20,20,20,Pudalai, 1, 15,2014-7-9
21,21,21,21,Red Pusanikkai, 1, 11,2014-7-9
22,22,22,22,Sambar Vellari, 1, 5,2014-7-9
23,23,23,23,Suraikai, 1, 6,2014-7-9
24,24,24,24,Thakkali, 1, 10,2014-7-9
25,25,25,25,Thatta payaru, 1, 14,2014-7-9
26,26,26,26,Vendai, 1, 23,2014-7-9
