,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,Avarai Belt, 1, 40,2014-10-17
1,1,1,1,Avarai Kolee, 1, 14,2014-10-17
2,2,2,2,Avarai ottu, 1, –,2014-10-17
3,3,3,3,Beans, 1, 38,2014-10-17
4,4,4,4,Beetroot, 1, 8,2014-10-17
5,5,5,5,Bellary, 1, 20,2014-10-17
6,6,6,6,C Flower, 1 Flower, 12,2014-10-17
7,7,7,7,C Vengayam, 1, 15,2014-10-17
8,8,8,8,Chaw Chaw, 1, 25,2014-10-17
9,9,9,9,Kaththari Disco, 1, 8,2014-10-17
10,10,10,10,Kaththari Green, 1, 8,2014-10-17
11,11,11,11,Kothavarai, 1, 15,2014-10-17
12,12,12,12,Milagai Samba, 1, 25,2014-10-17
13,13,13,13,Milagai urundai, 1, 35,2014-10-17
14,14,14,14,Mullaingi, 1, 8,2014-10-17
15,15,15,15,Murungai chedi, 1, 15,2014-10-17
16,16,16,16,Murungai Maram, 1, 13,2014-10-17
17,17,17,17,Nelli, 1, 30,2014-10-17
18,18,18,18,Pavarkai, 1, 26,2014-10-17
19,19,19,19,Perkangkai, 1, 25,2014-10-17
20,20,20,20,Pudalai, 1, 10,2014-10-17
21,21,21,21,Red Pusanikkai, 1, 7,2014-10-17
22,22,22,22,Sambar Vellari, 1, 8,2014-10-17
23,23,23,23,Suraikai, 1, 1,2014-10-17
24,24,24,24,Thakkali, 1, 5,2014-10-17
25,25,25,25,Thatta payaru, 1, 30,2014-10-17
26,26,26,26,Vendai, 1, 7,2014-10-17
