,Commodity, Weight in Kg, Price in Rs,date_of_purchase
7,Carrot/கேரட் 1st Quality,1, 20 to 25,2018-03-01
8,Carrot/கேரட் 2nd Quality,1, 15 to 20,2018-03-01
9,Lady Finger/வெண்டைக்காய்,1, 15 to 20,2018-03-01
10,Tree Drumstick/மரம் முருங்கை,1, 18,2018-03-01
11,Plant Drumstick/செடி முருங்கை,1, 24,2018-03-01
12,Beans/அவரை ஒட்டு,1, 13 to 25,2018-03-01
13,Green Pulses/பச்சை பயிறு,1, 22,2018-03-01
14,White Pulses/வெள்ளை பயிறு,1, 15,2018-03-01
15,Zucchini/சுரைக்காய்,1, 3,2018-03-01
16,Beetroot/பீட்ரூட்,1, 2 to 3,2018-03-01
17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 3 to 6,2018-03-01
18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 2 to 3,2018-03-01
19,Kalla Manga/கள்ள மாங்காய்,1, 55,2018-03-01
20,OOrutu Manga/உருட்டு மாங்காய்,1, 30 to 40,2018-03-01
21,Potato/உருளைக்கிழங்கு 1st Quality,1, 20 to 25,2018-03-01
22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 15 to 20,2018-03-01
23,Coconut/தேங்காய் 1st Quality,1, 45 to 48,2018-03-01
24,Coconut/தேங்காய் 2nd Quality,1, 40,2018-03-01
25,Green Chilli/பச்சை மிளகாய்,1, 6 to 12,2018-03-01
26,Cauliflower/காலிஃபிளவர் 1st Quality,1, 10 to 12,2018-03-01
27,Cauliflower/காலிஃபிளவர் 2nd Quality,1, –,2018-03-01
28,Green Brinjal/கத்தரிக்காய் பச்சை,1, 25 to 30,2018-03-01
29,Blue Brinjal/கத்தரிக்காய் நீலம்,1, 20,2018-03-01
30,Banana Thar/வாழை தார்,1, 24 to 25,2018-03-01
31,Curry Leaves/கறிவேப்பிலை,1, 25 to 30,2018-03-01
32,Gourd/புடலங்காய் 1st Quality,1, 13,2018-03-01
33,Gourd/புடலங்காய் 2nd Quality,1, –,2018-03-01
34,Coriander/கொத்தமல்லி 1st Quality,1, 8 to 10,2018-03-01
35,Coriander/கொத்தமல்லி 2nd Quality,1, –,2018-03-01
36,Radish/முள்ளங்கி 1st Quality,1, 3 to 6,2018-03-01
37,Radish/முள்ளங்கி 2nd Quality,1, –,2018-03-01
38,Ginger/இஞ்சி,1, 25 to 30,2018-03-01
39,Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 100,2018-03-01
40,Cabbage/முட்டை கோஸ்,1, 15,2018-03-01
41,Green Peas/பச்சை பட்டாணி,1, 40 to 45,2018-03-01
42,Bitter Gourd/பாகற்காய்,1, 10 to 18,2018-03-01
43,Nookal/நூக்கல்,1, 10 to 15,2018-03-01
44,Chaw Chaw/சவ்சவ்,1, 7 to 8,2018-03-01
45,Kovakkai/கோவக்காய்,1, 15 to 20,2018-03-01
46,Cluster Beans/கொத்தவரங்காய்,1, 15 to 25,2018-03-01
47,Gooseberry/நெல்லிக்காய்,1, 40 to 60,2018-03-01
48,Narthangai/நார்த்தங்காய்,1, 40 to 50,2018-03-01
49,Cucumber/வெள்ளரிக்காய்,1, 10 to 15,2018-03-01
50,Garlic/வெள்ளை பூண்டு,1, 40 to 80,2018-03-01
51,Gourd/பீர்க்கங்காய்,1, 10 to 15,2018-03-01
52,Small Tuber/சிறு கிழங்கு,1, 20 to 25,2018-03-01
53,Colocasia/சேப்பங்கிழங்கு,1, 20 to 25,2018-03-01
54,Soya beans/சோயா பீன்ஸ்,1, 80 to 100,2018-03-01
55,Butter Soya/பட்டர் சோயா,1, 80 to 100,2018-03-01
56,Senai Kilangu/சேனை கிழங்கு,1, 20 to 25,2018-03-01
57,Karunai Kilangu/கருணைக்கிழங்கு,1, 20 to 25,2018-03-01
58,Drumstick beans/முருங்கை பீன்ஸ்,1, 30,2018-03-01
59,Mangai Inji/மாங்காய் இஞ்சி,1, 20 to 25,2018-03-01
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Lemon/எலுமிச்சை,1, 100 to 120,2018-05-01
1,Tomato/தக்காளி 1st Quality,1, 7 to 10,2018-05-01
2,Tomato/தக்காளி 2nd Quality,1, –,2018-05-01
3,Small Onion/சிறிய வெங்காயம்,1, 15 to 25,2018-05-01
4,Bellary/பெல்லாரி,1, 13,2018-05-01
5,Beans/பீன்ஸ் 1st Quality,1, 25 to 45,2018-05-01
6,Beans/பீன்ஸ் 2nd Quality,1, 20 to 40,2018-05-01
7,Carrot/கேரட் 1st Quality,1, 15 to 25,2018-05-01
8,Carrot/கேரட் 2nd Quality,1, 10 to 20,2018-05-01
9,Lady Finger/வெண்டைக்காய்,1, 10,2018-05-01
10,Tree Drumstick/மரம் முருங்கை,1, 8,2018-05-01
11,Plant Drumstick/செடி முருங்கை,1, 10,2018-05-01
12,Beans/அவரை ஒட்டு,1, 25 to 40,2018-05-01
13,Green Pulses/பச்சை பயிறு,1, 23,2018-05-01
14,White Pulses/வெள்ளை பயிறு,1, 13,2018-05-01
15,Zucchini/சுரைக்காய்,1, 5 to 6,2018-05-01
16,Beetroot/பீட்ரூட்,1, 4 to 5,2018-05-01
17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 5 to 7,2018-05-01
18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3 to 5,2018-05-01
19,Kalla Manga/கள்ள மாங்காய்,1, 14,2018-05-01
20,OOrutu Manga/உருட்டு மாங்காய்,1, 10 to 11,2018-05-01
21,Potato/உருளைக்கிழங்கு 1st Quality,1, 20 to 30,2018-05-01
22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 15 to 25,2018-05-01
23,Coconut/தேங்காய் 1st Quality,1, 30 to 35,2018-05-01
24,Coconut/தேங்காய் 2nd Quality,1, 25 to 30,2018-05-01
25,Green Chilli/பச்சை மிளகாய்,1, 7 to 32,2018-05-01
26,Cauliflower/காலிஃபிளவர் 1st Quality,1, 15 to 20,2018-05-01
27,Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10 to 15,2018-05-01
28,Green Brinjal/கத்தரிக்காய் பச்சை,1, 15 to 20,2018-05-01
29,Blue Brinjal/கத்தரிக்காய் நீலம்,1, 10,2018-05-01
30,Banana Thar/வாழை தார்,1, 20 to 24,2018-05-01
31,Curry Leaves/கறிவேப்பிலை,1, 20 to 25,2018-05-01
32,Gourd/புடலங்காய் 1st Quality,1, 8 to 15,2018-05-01
33,Gourd/புடலங்காய் 2nd Quality,1, –,2018-05-01
34,Coriander/கொத்தமல்லி 1st Quality,1, 30 to 35,2018-05-01
35,Coriander/கொத்தமல்லி 2nd Quality,1, 25 to 30,2018-05-01
36,Radish/முள்ளங்கி 1st Quality,1, 15 to 20,2018-05-01
37,Radish/முள்ளங்கி 2nd Quality,1, 10 to 15,2018-05-01
38,Ginger/இஞ்சி,1, 70 to 80,2018-05-01
39,Butter Beans/பட்டர் பீன்ஸ்,1, 120 to 140,2018-05-01
40,Cabbage/முட்டை கோஸ்,1, 5 to 8,2018-05-01
41,Green Peas/பச்சை பட்டாணி,1, 80 to 90,2018-05-01
42,Bitter Gourd/பாகற்காய்,1, 15 to 20,2018-05-01
43,Nookal/நூக்கல்,1, 15 to 20,2018-05-01
44,Chaw Chaw/சவ்சவ்,1, 15 to 18,2018-05-01
45,Kovakkai/கோவக்காய்,1, 8 to 9,2018-05-01
46,Cluster Beans/கொத்தவரங்காய்,1, 10 to 12,2018-05-01
47,Gooseberry/நெல்லிக்காய்,1, 45 to 50,2018-05-01
48,Narthangai/நார்த்தங்காய்,1, 120,2018-05-01
49,Cucumber/வெள்ளரிக்காய்,1, 20,2018-05-01
50,Garlic/வெள்ளை பூண்டு,1, 40 to 80,2018-05-01
51,Gourd/பீர்க்கங்காய்,1, 30,2018-05-01
52,Small Tuber/சிறு கிழங்கு,1, 15 to 20,2018-05-01
53,Colocasia/சேப்பங்கிழங்கு,1, 15 to 20,2018-05-01
54,Soya beans/சோயா பீன்ஸ்,1, 120,2018-05-01
55,Butter Soya/பட்டர் சோயா,1, 120,2018-05-01
56,Senai Kilangu/சேனை கிழங்கு,1, 15 to 18,2018-05-01
57,Karunai Kilangu/கருணைக்கிழங்கு,1, 15 to 18,2018-05-01
58,Drumstick beans/முருங்கை பீன்ஸ்,1, 30,2018-05-01
59,Mangai Inji/மாங்காய் இஞ்சி,1, 45,2018-05-01
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Lemon/எலுமிச்சை,1, 15 to 25,2018-01-02
1,Tomato/தக்காளி 1st Quality,1, 5 to 6,2018-01-02
2,Tomato/தக்காளி 2nd Quality,1, –,2018-01-02
3,Small Onion/சிறிய வெங்காயம்,1, 50 to 60,2018-01-02
4,Bellary/பெல்லாரி,1, 40 to 45,2018-01-02
5,Beans/பீன்ஸ் 1st Quality,1, 10 to 20,2018-01-02
6,Beans/பீன்ஸ் 2nd Quality,1, 15,2018-01-02
7,Carrot/கேரட் 1st Quality,1, 35 to 45,2018-01-02
8,Carrot/கேரட் 2nd Quality,1, 30 to 40,2018-01-02
9,Lady Finger/வெண்டைக்காய்,1, 12,2018-01-02
10,Tree Drumstick/மரம் முருங்கை,1, –,2018-01-02
11,Plant Drumstick/முருங்கை,1, 50 to 70,2018-01-02
12,Beans/அவரை ஒட்டு,1, 12 to 25,2018-01-02
13,Green Pulses/பச்சை பயிறு,1, 6,2018-01-02
14,White Pulses/வெள்ளை பயிறு,1, 10,2018-01-02
15,Zucchini/சுரைக்காய்,1, 2,2018-01-02
16,Beetroot/பீட்ரூட்,1, 9,2018-01-02
17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2018-01-02
18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3 to 4,2018-01-02
19,Kalla Manga/கள்ள மாங்காய்,1, 110,2018-01-02
20,OOrutu Manga/உருட்டு மாங்காய்,1, 90,2018-01-02
21,Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 18,2018-01-02
22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 15,2018-01-02
23,Coconut/தேங்காய் 1st Quality,1, 40 to 45,2018-01-02
24,Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2018-01-02
25,Green Chilli/பச்சை மிளகாய்,1, 10 to 15,2018-01-02
26,Cauliflower/காலிஃபிளவர் 1st Quality,1, 10 to 15,2018-01-02
27,Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10,2018-01-02
28,Green Brinjal/கத்தரிக்காய் பச்சை,1, 15 to 20,2018-01-02
29,Blue Brinjal/கத்தரிக்காய் நீலம்,1, 7 to 10,2018-01-02
30,Banana Thar/வாழை தார்,1, 25 to 30,2018-01-02
31,Curry Leaves/கறிவேப்பிலை,1, 15 to 20,2018-01-02
32,Gourd/புடலங்காய் 1st Quality,1, 3,2018-01-02
33,Gourd/புடலங்காய் 2nd Quality,1, –,2018-01-02
34,Coriander/கொத்தமல்லி 1st Quality,1, 10 to 15,2018-01-02
35,Coriander/கொத்தமல்லி 2nd Quality,1, –,2018-01-02
36,Radish/முள்ளங்கி 1st Quality,1, 10 to 15,2018-01-02
37,Radish/முள்ளங்கி 2nd Quality,1, –,2018-01-02
38,Ginger/இஞ்சி,1, 30 to 35,2018-01-02
39,Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 100,2018-01-02
40,Cabbage/முட்டை கோஸ்,1, 10 to 15,2018-01-02
41,Green Peas/பச்சை பட்டாணி,1, 60,2018-01-02
42,Bitter Gourd/பாகற்காய்,1, 12 to 15,2018-01-02
43,Nookal/நூக்கல்,1, 10 to 15,2018-01-02
44,Chaw Chaw/சவ்சவ்,1, 4 to 7,2018-01-02
45,Kovakkai/கோவக்காய்,1, 25,2018-01-02
46,Cluster Beans/கொத்தவரங்காய்,1, 10 to 15,2018-01-02
47,Gooseberry/நெல்லிக்காய்,1, 30 to 35,2018-01-02
48,Narthangai/நார்த்தங்காய்,1, 30,2018-01-02
49,Cucumber/வெள்ளரிக்காய்,1, 10,2018-01-02
50,Garlic/வெள்ளை பூண்டு,1, 80 to 100,2018-01-02
51,Gourd/பீர்க்கங்காய்,1, 10 to 13,2018-01-02
52,Small Tuber/சிறு கிழங்கு,1, 40,2018-01-02
53,Colocasia/சேப்பங்கிழங்கு,1, 35,2018-01-02
54,Soya beans/சோயா பீன்ஸ்,1, 80,2018-01-02
55,Butter Soya/பட்டர் சோயா,1, 80,2018-01-02
56,Senai Kilangu/சேனை கிழங்கு,1, 25 to 27,2018-01-02
57,Karunai Kilangu/கருணைக்கிழங்கு,1, 15 to 20,2018-01-02
58,Drumstick beans/முருங்கை பீன்ஸ்,1, 15,2018-01-02
59,Mangai Inji/மாங்காய் இஞ்சி,1, 30,2018-01-02
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Lemon/எலுமிச்சை,1, 15 to 20,2018-02-02
1,Tomato/தக்காளி 1st Quality,1, 4 to 5,2018-02-02
2,Tomato/தக்காளி 2nd Quality,1, –,2018-02-02
3,Small Onion/சிறிய வெங்காயம்,1, 25 to 32,2018-02-02
4,Bellary/பெல்லாரி,1, 25 to 30,2018-02-02
5,Beans/பீன்ஸ் 1st Quality,1, 15 to 28,2018-02-02
6,Beans/பீன்ஸ் 2nd Quality,1, 10 to 23,2018-02-02
7,Carrot/கேரட் 1st Quality,1, 25,2018-02-02
8,Carrot/கேரட் 2nd Quality,1, 20,2018-02-02
9,Lady Finger/வெண்டைக்காய்,1, 14 to 15,2018-02-02
10,Tree Drumstick/மரம் முருங்கை,1, 38,2018-02-02
11,Plant Drumstick/முருங்கை,1, 45,2018-02-02
12,Beans/அவரை ஒட்டு,1, 13 to 18,2018-02-02
13,Green Pulses/பச்சை பயிறு,1, 14,2018-02-02
14,White Pulses/வெள்ளை பயிறு,1, 10,2018-02-02
15,Zucchini/சுரைக்காய்,1, 1.50,2018-02-02
16,Beetroot/பீட்ரூட்,1, 2,2018-02-02
17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2018-02-02
18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3.50,2018-02-02
19,Kalla Manga/கள்ள மாங்காய்,1, 100 to 120,2018-02-02
20,OOrutu Manga/உருட்டு மாங்காய்,1, 80,2018-02-02
21,Potato/உருளைக்கிழங்கு 1st Quality,1, 15 to 20,2018-02-02
22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2018-02-02
23,Coconut/தேங்காய் 1st Quality,1, 40 to 45,2018-02-02
24,Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2018-02-02
25,Green Chilli/பச்சை மிளகாய்,1, 6 to 8,2018-02-02
26,Cauliflower/காலிஃபிளவர் 1st Quality,1, 12 to 15,2018-02-02
27,Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10,2018-02-02
28,Green Brinjal/கத்தரிக்காய் பச்சை,1, 5,2018-02-02
29,Blue Brinjal/கத்தரிக்காய் நீலம்,1, 5,2018-02-02
30,Banana Thar/வாழை தார்,1, 25 to 30,2018-02-02
31,Curry Leaves/கறிவேப்பிலை,1, 15 to 20,2018-02-02
32,Gourd/புடலங்காய் 1st Quality,1, 3 to 5,2018-02-02
33,Gourd/புடலங்காய் 2nd Quality,1, –,2018-02-02
34,Coriander/கொத்தமல்லி 1st Quality,1, 5 to 8,2018-02-02
35,Coriander/கொத்தமல்லி 2nd Quality,1, –,2018-02-02
36,Radish/முள்ளங்கி 1st Quality,1, 5 to 10,2018-02-02
37,Radish/முள்ளங்கி 2nd Quality,1, –,2018-02-02
38,Ginger/இஞ்சி,1, 20 to 25,2018-02-02
39,Butter Beans/பட்டர் பீன்ஸ்,1, 90,2018-02-02
40,Cabbage/முட்டை கோஸ்,1, 15 to 20,2018-02-02
41,Green Peas/பச்சை பட்டாணி,1, 80,2018-02-02
42,Bitter Gourd/பாகற்காய்,1, 15,2018-02-02
43,Nookal/நூக்கல்,1, 15 to 20,2018-02-02
44,Chaw Chaw/சவ்சவ்,1, 4 to 6,2018-02-02
45,Kovakkai/கோவக்காய்,1, 18,2018-02-02
46,Cluster Beans/கொத்தவரங்காய்,1, 15,2018-02-02
47,Gooseberry/நெல்லிக்காய்,1, 50 to 55,2018-02-02
48,Narthangai/நார்த்தங்காய்,1, 40,2018-02-02
49,Cucumber/வெள்ளரிக்காய்,1, 10,2018-02-02
50,Garlic/வெள்ளை பூண்டு,1, 40 to 80,2018-02-02
51,Gourd/பீர்க்கங்காய்,1, 10 to 12,2018-02-02
52,Small Tuber/சிறு கிழங்கு,1, 40,2018-02-02
53,Colocasia/சேப்பங்கிழங்கு,1, 35,2018-02-02
54,Soya beans/சோயா பீன்ஸ்,1, 80,2018-02-02
55,Butter Soya/பட்டர் சோயா,1, 80,2018-02-02
56,Senai Kilangu/சேனை கிழங்கு,1, 30,2018-02-02
57,Karunai Kilangu/கருணைக்கிழங்கு,1, 35,2018-02-02
58,Drumstick beans/முருங்கை பீன்ஸ்,1, 20,2018-02-02
59,Mangai Inji/மாங்காய் இஞ்சி,1, 30 to 35,2018-02-02
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Lemon/எலுமிச்சை,1, 40 to 55,2018-03-02
1,Tomato/தக்காளி 1st Quality,1, 3 to 4,2018-03-02
2,Tomato/தக்காளி 2nd Quality,1, –,2018-03-02
3,Small Onion/சிறிய வெங்காயம்,1, 18 to 22,2018-03-02
4,Bellary/பெல்லாரி,1, 12 to 14,2018-03-02
5,Beans/பீன்ஸ் 1st Quality,1, 15 to 30,2018-03-02
6,Beans/பீன்ஸ் 2nd Quality,1, 10 to 25,2018-03-02
7,Carrot/கேரட் 1st Quality,1, 15 to 25,2018-03-02
8,Carrot/கேரட் 2nd Quality,1, 10 to 20,2018-03-02
9,Lady Finger/வெண்டைக்காய்,1, 15 to 16,2018-03-02
10,Tree Drumstick/மரம் முருங்கை,1, 16,2018-03-02
11,Plant Drumstick/செடி முருங்கை,1, 22,2018-03-02
12,Beans/அவரை ஒட்டு,1, 13,2018-03-02
13,Green Pulses/பச்சை பயிறு,1, 22,2018-03-02
14,White Pulses/வெள்ளை பயிறு,1, 15,2018-03-02
15,Zucchini/சுரைக்காய்,1, 2 to 3,2018-03-02
16,Beetroot/பீட்ரூட்,1, 2,2018-03-02
17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2018-03-02
18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 2 to 3,2018-03-02
19,Kalla Manga/கள்ள மாங்காய்,1, 50 to 55,2018-03-02
20,OOrutu Manga/உருட்டு மாங்காய்,1, 30 to 40,2018-03-02
21,Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 20,2018-03-02
22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 10 to 15,2018-03-02
23,Coconut/தேங்காய் 1st Quality,1, 40 to 46,2018-03-02
24,Coconut/தேங்காய் 2nd Quality,1, 35,2018-03-02
25,Green Chilli/பச்சை மிளகாய்,1, 6 to 15,2018-03-02
26,Cauliflower/காலிஃபிளவர் 1st Quality,1, 8 to 12,2018-03-02
27,Cauliflower/காலிஃபிளவர் 2nd Quality,1, –,2018-03-02
28,Green Brinjal/கத்தரிக்காய் பச்சை,1, 15 to 20,2018-03-02
29,Blue Brinjal/கத்தரிக்காய் நீலம்,1, 10 to 15,2018-03-02
30,Banana Thar/வாழை தார்,1, 24 to 26,2018-03-02
31,Curry Leaves/கறிவேப்பிலை,1, 20 to 25,2018-03-02
32,Gourd/புடலங்காய் 1st Quality,1, 8,2018-03-02
33,Gourd/புடலங்காய் 2nd Quality,1, –,2018-03-02
34,Coriander/கொத்தமல்லி 1st Quality,1, 10 to 12,2018-03-02
35,Coriander/கொத்தமல்லி 2nd Quality,1, –,2018-03-02
36,Radish/முள்ளங்கி 1st Quality,1, 5 to 6,2018-03-02
37,Radish/முள்ளங்கி 2nd Quality,1, –,2018-03-02
38,Ginger/இஞ்சி,1, 20 to 25,2018-03-02
39,Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 100,2018-03-02
40,Cabbage/முட்டை கோஸ்,1, 3 to 5,2018-03-02
41,Green Peas/பச்சை பட்டாணி,1, 30 to 35,2018-03-02
42,Bitter Gourd/பாகற்காய்,1, 10 to 18,2018-03-02
43,Nookal/நூக்கல்,1, 10 to 15,2018-03-02
44,Chaw Chaw/சவ்சவ்,1, 7 to 9,2018-03-02
45,Kovakkai/கோவக்காய்,1, 20 to 25,2018-03-02
46,Cluster Beans/கொத்தவரங்காய்,1, 15 to 20,2018-03-02
47,Gooseberry/நெல்லிக்காய்,1, 50 to 60,2018-03-02
48,Narthangai/நார்த்தங்காய்,1, 45,2018-03-02
49,Cucumber/வெள்ளரிக்காய்,1, 12 to 14,2018-03-02
50,Garlic/வெள்ளை பூண்டு,1, 40 to 50,2018-03-02
51,Gourd/பீர்க்கங்காய்,1, 15 to 20,2018-03-02
52,Small Tuber/சிறு கிழங்கு,1, 20 to 25,2018-03-02
53,Colocasia/சேப்பங்கிழங்கு,1, 20 to 25,2018-03-02
54,Soya beans/சோயா பீன்ஸ்,1, 80 to 100,2018-03-02
55,Butter Soya/பட்டர் சோயா,1, 80 to 100,2018-03-02
56,Senai Kilangu/சேனை கிழங்கு,1, 20 to 25,2018-03-02
57,Karunai Kilangu/கருணைக்கிழங்கு,1, 20 to 25,2018-03-02
58,Drumstick beans/முருங்கை பீன்ஸ்,1, 30,2018-03-02
59,Mangai Inji/மாங்காய் இஞ்சி,1, 20 to 25,2018-03-02
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Lemon/எலுமிச்சை,1, 100 to 130,2018-04-02
1,Tomato/தக்காளி 1st Quality,1, 8 to 10,2018-04-02
2,Tomato/தக்காளி 2nd Quality,1, –,2018-04-02
3,Small Onion/சிறிய வெங்காயம்,1, 10 to 16,2018-04-02
4,Bellary/பெல்லாரி,1, 10 to 13,2018-04-02
5,Beans/பீன்ஸ் 1st Quality,1, 20 to 50,2018-04-02
6,Beans/பீன்ஸ் 2nd Quality,1, 15 to 45,2018-04-02
7,Carrot/கேரட் 1st Quality,1, 15 to 25,2018-04-02
8,Carrot/கேரட் 2nd Quality,1, 10 to 20,2018-04-02
9,Lady Finger/வெண்டைக்காய்,1, 20 to 25,2018-04-02
10,Tree Drumstick/மரம் முருங்கை,1, 8,2018-04-02
11,Plant Drumstick/செடி முருங்கை,1, 10,2018-04-02
12,Beans/அவரை ஒட்டு,1, 20 to 40,2018-04-02
13,Green Pulses/பச்சை பயிறு,1, 30,2018-04-02
14,White Pulses/வெள்ளை பயிறு,1, 27,2018-04-02
15,Zucchini/சுரைக்காய்,1, 3,2018-04-02
16,Beetroot/பீட்ரூட்,1, 3,2018-04-02
17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 3,2018-04-02
