Commodity, Weight in Kg, Price in Rs
Belt Beans / Avarai Belt, 1, 25
Beans Kolee / Avarai Kolee, 1, 25
Avarai ottu, 1, –
Beans, 1, 35
Beetroot, 1, 7
Bellary / Big Onion, 1, 20
Cauliflower, 1 Flower, 13
Small Onion / Chinna Vengayam, 1, 15
Chaw Chaw, 1, 20
Disco Brinjal / Kaththari kai Disco, 1, 15
Green Brinjal / Kaththari Kai Pachai, 1, 15
Cluster Beans / Kothavarai, 1, 8
Samba Chilli / Milagai Samba, 1, 20
Round Chilli / Milagai Urundai, 1, 20
Radish / Mullangi, 1, 9
Drumstick / Murungai Chedi, 1, 20
Drumstick / Murungai Maram, 1, 16
Nelli Kai, 1, 23
Bitter Gourd / Pakar kai, 1, –
Perkangkai, 1, 22
Snake Guard / Pudalai, 1, 20
Red Pumpkin / Red Pusanikkai, 1, 4
Sambar Vellari, 1, 5
Bottle gourd / Suraikai, 1, 4
Tomato / Thakkali, 1, 4
Thatta payaru, 1, 20
Lady’s Finger / Venda Kai, 1, 12
Lemon / Elumbichai, 1, 90
