,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Belt Beans / Avarai Belt, 1, 30,2016- 7-4
1,1,Beans Kolee / Avarai Kolee, 1, 30,2016- 7-4
2,2,Avarai ottu, 1, –,2016- 7-4
3,3,Beans, 1, 40,2016- 7-4
4,4,Beetroot, 1, 10,2016- 7-4
5,5,Bellary / Big Onion, 1, 23,2016- 7-4
6,6,Cauliflower, 1 Flower, 15,2016- 7-4
7,7,Small Onion / Chinna Vengayam, 1, 30,2016- 7-4
8,8,Chaw Chaw, 1, 27,2016- 7-4
9,9,Disco Brinjal / Kaththari kai Disco, 1, 10,2016- 7-4
10,10,Green Brinjal / Kaththari Kai Pachai, 1, 20,2016- 7-4
11,11,Cluster Beans / Kothavarai, 1, 20,2016- 7-4
12,12,Samba Chilli / Milagai Samba, 1, 15,2016- 7-4
13,13,Round Chilli / Milagai Urundai, 1, 15,2016- 7-4
14,14,Radish / Mullangi, 1, 9,2016- 7-4
15,15,Drumstick / Murungai Chedi, 1, 28,2016- 7-4
16,16,Drumstick / Murungai Maram, 1, 25,2016- 7-4
17,17,Nelli Kai, 1, 25,2016- 7-4
18,18,Bitter Gourd / Pakar kai, 1, –,2016- 7-4
19,19,Perkangkai, 1, 20,2016- 7-4
20,20,Snake Guard / Pudalai, 1, 10,2016- 7-4
21,21,Red Pumpkin / Red Pusanikkai, 1, 6,2016- 7-4
22,22,Sambar Vellari, 1, 8,2016- 7-4
23,23,Bottle gourd / Suraikai, 1, 7,2016- 7-4
24,24,Tomato / Thakkali, 1, 40,2016- 7-4
25,25,Thatta payaru, 1, 40,2016- 7-4
26,26,Lady’s Finger / Venda Kai, 1, 17,2016- 7-4
27,27,Lemon / Elumbichai, 1, 70,2016- 7-4
