,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Belt Beans / Avarai Belt, 1, 23,2016-8-16
1,1,1,Beans Kolee / Avarai Kolee, 1, 23,2016-8-16
2,2,2,Avarai ottu, 1, –,2016-8-16
3,3,3,Beans, 1, 30,2016-8-16
4,4,4,Beetroot, 1, 8,2016-8-16
5,5,5,Bellary / Big Onion, 1, 20,2016-8-16
6,6,6,Cauliflower, 1 Flower, 13,2016-8-16
7,7,7,Small Onion / Chinna Vengayam, 1, 15,2016-8-16
8,8,8,Chaw Chaw, 1, 22,2016-8-16
9,9,9,Disco Brinjal / Kaththari kai Disco, 1, 13,2016-8-16
10,10,10,Green Brinjal / Kaththari Kai Pachai, 1, 13,2016-8-16
11,11,11,Cluster Beans / Kothavarai, 1, 10,2016-8-16
12,12,12,Samba Chilli / Milagai Samba, 1, 24,2016-8-16
13,13,13,Round Chilli / Milagai Urundai, 1, 25,2016-8-16
14,14,14,Radish / Mullangi, 1, 8,2016-8-16
15,15,15,Drumstick / Murungai Chedi, 1, 8,2016-8-16
16,16,16,Drumstick / Murungai Maram, 1, 6,2016-8-16
17,17,17,Nelli Kai, 1, 23,2016-8-16
18,18,18,Bitter Gourd / Pakar kai, 1, –,2016-8-16
19,19,19,Perkangkai, 1, 20,2016-8-16
20,20,20,Snake Guard / Pudalai, 1, 9,2016-8-16
21,21,21,Red Pumpkin / Red Pusanikkai, 1, 8,2016-8-16
22,22,22,Sambar Vellari, 1, 10,2016-8-16
23,23,23,Bottle gourd / Suraikai, 1, 5,2016-8-16
24,24,24,Tomato / Thakkali, 1, 8,2016-8-16
25,25,25,Thatta payaru, 1, 18,2016-8-16
26,26,26,Lady’s Finger / Venda Kai, 1, 10,2016-8-16
27,27,27,Lemon / Elumbichai, 1, 80,2016-8-16
