,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Belt Beans / Avarai Belt, 1, 30,2016-6-25
1,1,1,Beans Kolee / Avarai Kolee, 1, 37,2016-6-25
2,2,2,Avarai ottu, 1, –,2016-6-25
3,3,3,Beans, 1, 45,2016-6-25
4,4,4,Beetroot, 1, 10,2016-6-25
5,5,5,Bellary / Big Onion, 1, 23,2016-6-25
6,6,6,Cauliflower, 1 Flower, 15,2016-6-25
7,7,7,Small Onion / Chinna Vengayam, 1, 30,2016-6-25
8,8,8,Chaw Chaw, 1, 27,2016-6-25
9,9,9,Disco Brinjal / Kaththari kai Disco, 1, 10,2016-6-25
10,10,10,Green Brinjal / Kaththari Kai Pachai, 1, 25,2016-6-25
11,11,11,Cluster Beans / Kothavarai, 1, 28,2016-6-25
12,12,12,Samba Chilli / Milagai Samba, 1, 30,2016-6-25
13,13,13,Round Chilli / Milagai Urundai, 1, 30,2016-6-25
14,14,14,Radish / Mullangi, 1, 9,2016-6-25
15,15,15,Drumstick / Murungai Chedi, 1, 70,2016-6-25
16,16,16,Drumstick / Murungai Maram, 1, 65,2016-6-25
17,17,17,Nelli Kai, 1, 25,2016-6-25
18,18,18,Bitter Gourd / Pakar kai, 1, –,2016-6-25
19,19,19,Perkangkai, 1, 25,2016-6-25
20,20,20,Snake Guard / Pudalai, 1, 10,2016-6-25
21,21,21,Red Pumpkin / Red Pusanikkai, 1, 6,2016-6-25
22,22,22,Sambar Vellari, 1, 12,2016-6-25
23,23,23,Bottle gourd / Suraikai, 1, 7,2016-6-25
24,24,24,Tomato / Thakkali, 1, 45,2016-6-25
25,25,25,Thatta payaru, 1, 40,2016-6-25
26,26,26,Lady’s Finger / Venda Kai, 1, 18,2016-6-25
27,27,27,Lemon / Elumbichai, 1, 70,2016-6-25
