,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Belt Beans / Avarai Belt, 1, 25,2016-10-14
1,Beans Kolee / Avarai Kolee, 1, 25,2016-10-14
2,Avarai ottu, 1, –,2016-10-14
3,Beans, 1, 35,2016-10-14
4,Beetroot, 1, 6,2016-10-14
5,Bellary / Big Onion, 1, 15,2016-10-14
6,Cauliflower, 1 Flower, 14,2016-10-14
7,Small Onion / Chinna Vengayam, 1, 20,2016-10-14
8,Chaw Chaw, 1, 22,2016-10-14
9,Disco Brinjal / Kaththari kai Disco, 1, 12,2016-10-14
10,Green Brinjal / Kaththari Kai Pachai, 1, 12,2016-10-14
11,Cluster Beans / Kothavarai, 1, 10,2016-10-14
12,Samba Chilli / Milagai Samba, 1, 17,2016-10-14
13,Round Chilli / Milagai Urundai, 1, 17,2016-10-14
14,Radish / Mullangi, 1, 10,2016-10-14
15,Drumstick / Murungai Chedi, 1, 18,2016-10-14
16,Drumstick / Murungai Maram, 1, 15,2016-10-14
17,Nelli Kai, 1, 25,2016-10-14
18,Bitter Gourd / Pakar kai, 1, –,2016-10-14
19,Perkangkai, 1, 22,2016-10-14
20,Snake Guard / Pudalai, 1, 16,2016-10-14
21,Red Pumpkin / Red Pusanikkai, 1, 5,2016-10-14
22,Sambar Vellari, 1, 5,2016-10-14
23,Bottle gourd / Suraikai, 1, 4,2016-10-14
24,Tomato / Thakkali, 1, 2,2016-10-14
25,Thatta payaru, 1, 20,2016-10-14
26,Lady’s Finger / Venda Kai, 1, 15,2016-10-14
27,Lemon / Elumbichai, 1, 140,2016-10-14
